Cell 1 - 5e-3,,Cell 2 - 2.5e-3,,Cell 3 - 1.25e-3,,Cell 4 - 6.25e-4,,Cell 5 - 3.125e-4,,Cell 6 - 1.561e-4,,
Time (min),Abs,Time (min),Abs,Time (min),Abs,Time (min),Abs,Time (min),Abs,Time (min),Abs,
5.580538982E-006,0.5426738262,0.04263402149,0.4107919931,0.08527205884,0.3031125963,0.1279097944,0.2501679957,0.1705473959,0.1513140053,0.2131835073,0.1149967015,
0.3564366996,0.6002876163,0.3990727961,0.4898175895,0.4417096972,0.3585208058,0.484347105,0.3152858019,0.5269848108,0.1724742949,0.5696219206,0.1326394975,
0.7128741145,0.6596239805,0.7555118203,0.5421866179,0.7981483936,0.4176467061,0.8407847285,0.3800578117,0.8834220767,0.1949061006,0.9260603189,0.1515635997,
1.069313049,0.7226127982,1.111948967,0.6266180873,1.154585004,0.4795004129,1.197224021,0.4446280897,1.239861012,0.2228655964,1.282498002,0.170303598,
1.425750017,0.7921193838,1.468386054,0.6743543148,1.511023045,0.5426781774,1.553660989,0.5280550718,1.596297979,0.249445796,1.638936043,0.1897840053,
1.782188058,0.8668848276,1.824825048,0.7501624823,1.867462039,0.6062148809,1.91009903,0.6022415757,1.952736974,0.276540488,1.995373011,0.2087308019,
2.138626099,0.9396455288,2.18126297,0.8295829296,2.223898888,0.6710441113,2.266536951,0.6783483028,2.309174061,0.3037684858,2.351813078,0.228303805,
2.495064974,1.013334036,2.537700891,0.8981590867,2.580338001,0.734416306,2.622975111,0.7516872883,2.665612936,0.3315368891,2.708250046,0.2464329004,
2.851504087,1.086765051,2.894138098,0.9747775793,2.936777115,0.7991709709,2.979413033,0.8273329735,3.022049904,0.3590193987,3.064687014,0.2649917006,
3.207941055,1.153723955,3.250576973,1.034999013,3.293214083,0.8643636703,3.335850954,0.9011772871,3.378489017,0.388597697,3.421125889,0.2847296894,

Cell 1 - 5e-3,
Cell 1 - 5e-3
Collection Time: 10/21/2020 12:34:02 PM
Operator Name  :
ADL Shell Version 5.0.0.1002
Method Log     :
Method Name    : C:\ADLs_QNW\Version_050\measurements\201021\297K-hold.MAD
Date/Time stamp: 10/21/2020 9:07:55 AM
Method Modifications:
COM Port Number Changed: 10/21/2020 8:37:59 AM, Old:Off, New:-1
Unsaved Data Changed: 10/21/2020 8:59:45 AM, Old:1, New:0
Saved as C:\ADLs_QNW\Version_050\measurements\201021\297K-hold.MAD
Opened C:\ADLs_QNW\Version_050\measurements\201021\297K-hold.MAD
Hold Temperature Changed: 10/21/2020 10:26:11 AM, Old:4, New:10
Connected to Controller Changed: 10/21/2020 10:26:25 AM, Old:1, New:0
Cary Online Changed: 10/21/2020 10:26:25 AM, Old:1, New:-1
COM Port Number Changed: 10/21/2020 10:26:25 AM, Old:, New:-1
COM Port Number Changed: 10/21/2020 10:26:26 AM, Old:-1, New:
Number Samples Changed: 10/21/2020 10:26:26 AM, Old:-6, New:0
Connected to Controller Changed: 10/21/2020 10:26:33 AM, Old:0, New:1
Number Samples Changed: 10/21/2020 10:26:35 AM, Old:0, New:-6
Cary Online Changed: 10/21/2020 10:26:41 AM, Old:-1, New:1
Unsaved Data Changed: 10/21/2020 10:33:43 AM, Old:0, New:1
Unsaved Data Changed: 10/21/2020 10:39:35 AM, Old:1, New:0
Unsaved Data Changed: 10/21/2020 12:02:45 PM, Old:0, New:1
Unsaved Data Changed: 10/21/2020 12:08:20 PM, Old:1, New:0
Hold Temperature Changed: 10/21/2020 12:15:11 PM, Old:10, New:15
Unsaved Data Changed: 10/21/2020 12:17:33 PM, Old:0, New:1
Unsaved Data Changed: 10/21/2020 12:23:26 PM, Old:1, New:0
End Method Modifications

Cell 6 - 1.561e-4,
Cell 6 - 1.561e-4
Collection Time: 10/21/2020 12:34:02 PM
Operator Name  :
ADL Shell Version 5.0.0.1002
Method Log     :
Method Name    : C:\ADLs_QNW\Version_050\measurements\201021\297K-hold.MAD
Date/Time stamp: 10/21/2020 9:07:55 AM
Method Modifications:
COM Port Number Changed: 10/21/2020 8:37:59 AM, Old:Off, New:-1
COM Port Number Changed: 10/21/2020 8:38:00 AM, Old:-1, New:
Connected to Controller Changed: 10/21/2020 8:38:07 AM, Old:0, New:1
Number Samples Changed: 10/21/2020 8:38:09 AM, Old:0, New:-6
Cary Online Changed: 10/21/2020 8:38:18 AM, Old:-1, New:1
Sample ID 1 Changed: 10/21/2020 8:38:18 AM, Old:, New:1111
Sample ID 2 Changed: 10/21/2020 8:38:18 AM, Old:, New:2222
Sample ID 3 Changed: 10/21/2020 8:38:18 AM, Old:, New:3333
Sample ID 4 Changed: 10/21/2020 8:38:18 AM, Old:, New:4444
Sample ID 5 Changed: 10/21/2020 8:38:18 AM, Old:, New:5555
Sample ID 6 Changed: 10/21/2020 8:38:18 AM, Old:, New:6666
Data Simulation Changed: 10/21/2020 8:38:18 AM, Old:None, New:Abs Only
Data Simulation Changed: 10/21/2020 8:38:18 AM, Old:Abs Only, New:None
Parameter Setup First Time Changed: 10/21/2020 8:38:18 AM, Old:1, New:0
Method Changed: 10/21/2020 8:38:24 AM, Old:Ramp T, New:2
Method Changed: 10/21/2020 8:38:24 AM, Old:2, New:Hold T
Hold Temperature Changed: 10/21/2020 8:38:31 AM, Old:37, New:4
Time Interval Changed: 10/21/2020 8:38:32 AM, Old:0.2, New:0.3
Maximum Time Changed: 10/21/2020 8:38:34 AM, Old:60, New:5
Equilibration Time Changed: 10/21/2020 8:38:36 AM, Old:    10.00, New:     0.00
Unsaved Data Changed: 10/21/2020 8:38:42 AM, Old:0, New:1
Connected to Controller Changed: 10/21/2020 8:42:02 AM, Old:1, New:0
Cary Online Changed: 10/21/2020 8:42:02 AM, Old:1, New:-1
COM Port Number Changed: 10/21/2020 8:42:02 AM, Old:, New:-1
COM Port Number Changed: 10/21/2020 8:42:03 AM, Old:-1, New:
Number Samples Changed: 10/21/2020 8:42:03 AM, Old:-6, New:0
Connected to Controller Changed: 10/21/2020 8:42:11 AM, Old:0, New:1
Number Samples Changed: 10/21/2020 8:42:13 AM, Old:0, New:-6
Unsaved Data Changed: 10/21/2020 8:42:23 AM, Old:1, New:0
Unsaved Data Changed: 10/21/2020 8:42:27 AM, Old:0, New:1
Unsaved Data Changed: 10/21/2020 8:47:38 AM, Old:1, New:0
Unsaved Data Changed: 10/21/2020 8:47:43 AM, Old:0, New:1
Cary Online Changed: 10/21/2020 8:50:56 AM, Old:-1, New:1
Sample ID 1 Changed: 10/21/2020 8:51:00 AM, Old:1111, New:5e-3
Sample ID 2 Changed: 10/21/2020 8:51:02 AM, Old:2222, New:2.5e-3
Sample ID 3 Changed: 10/21/2020 8:51:05 AM, Old:3333, New:1.25e-3
Sample ID 4 Changed: 10/21/2020 8:51:08 AM, Old:4444, New:6.25e-4
Sample ID 5 Changed: 10/21/2020 8:51:11 AM, Old:5555, New:3.125e-4
Sample ID 6 Changed: 10/21/2020 8:51:28 AM, Old:6666, New:1.561e-4
Equilibration Time Changed: 10/21/2020 8:51:30 AM, Old:     0.00, New:     1.00
Stirrer Speed Changed: 10/21/2020 8:51:35 AM, Old:0, New:1200
Unsaved Data Changed: 10/21/2020 8:52:16 AM, Old:1, New:0
Unsaved Data Changed: 10/21/2020 8:53:44 AM, Old:0, New:1
Unsaved Data Changed: 10/21/2020 8:59:45 AM, Old:1, New:0
Saved as C:\ADLs_QNW\Version_050\measurements\201021\297K-hold.MAD
Opened C:\ADLs_QNW\Version_050\measurements\201021\297K-hold.MAD
Hold Temperature Changed: 10/21/2020 10:26:11 AM, Old:4, New:10
Connected to Controller Changed: 10/21/2020 10:26:25 AM, Old:1, New:0
Cary Online Changed: 10/21/2020 10:26:25 AM, Old:1, New:-1
COM Port Number Changed: 10/21/2020 10:26:25 AM, Old:, New:-1
COM Port Number Changed: 10/21/2020 10:26:26 AM, Old:-1, New:
Number Samples Changed: 10/21/2020 10:26:26 AM, Old:-6, New:0
Connected to Controller Changed: 10/21/2020 10:26:33 AM, Old:0, New:1
Number Samples Changed: 10/21/2020 10:26:35 AM, Old:0, New:-6
Cary Online Changed: 10/21/2020 10:26:41 AM, Old:-1, New:1
Unsaved Data Changed: 10/21/2020 10:33:43 AM, Old:0, New:1
Unsaved Data Changed: 10/21/2020 10:39:35 AM, Old:1, New:0
Unsaved Data Changed: 10/21/2020 12:02:45 PM, Old:0, New:1
Unsaved Data Changed: 10/21/2020 12:08:20 PM, Old:1, New:0
Hold Temperature Changed: 10/21/2020 12:15:11 PM, Old:10, New:15
Unsaved Data Changed: 10/21/2020 12:17:33 PM, Old:0, New:1
Unsaved Data Changed: 10/21/2020 12:23:26 PM, Old:1, New:0
End Method Modifications

